,T1,RH_1,T2,RH_2
153,20.033333333333296,44.0,19.0,43.29
154,20.1,44.26,19.2,43.29
155,20.1,44.2,19.245,43.245
156,20.1,44.1266666666667,19.29,43.095
157,20.1,44.06,19.37,42.92
158,20.1,44.0,19.39,42.9
159,20.1,43.9,19.39,42.76
160,20.1,43.8266666666667,19.39,42.7
161,20.033333333333296,43.73,19.39,42.6633333333333
162,20.1,43.73,19.39,42.53
163,20.06666666666669,43.49,19.3566666666667,42.5
164,20.0,43.29,19.29,42.433333333333294
165,20.0,43.145,19.29,42.45
166,20.0,43.06,19.26,42.4666666666667
167,19.9266666666667,43.0,19.2,42.4
168,19.89,42.863333333333294,19.2,42.3266666666667
169,19.89,42.79,19.2,42.3266666666667
170,19.89,42.7,19.1,42.363333333333294
171,19.82333333333329,42.6266666666667,19.1,42.29
172,19.79,42.59,19.0444444444444,42.24
173,19.79,42.723333333333294,19.0,42.0563636363636
174,19.76,42.76,19.0,41.8866666666667
175,19.7,42.7,19.0,41.988333333333294
176,19.7,42.7,19.0,42.064285714285695
177,19.6333333333333,42.6266666666667,18.910625,42.2525
178,19.6666666666667,43.0,18.89,42.410625
179,19.6,43.0,18.89,42.5
180,19.6,43.0,18.89,42.645
181,19.533333333333296,43.0,18.8081818181818,42.7
182,19.5,43.09,18.79,42.75625
183,19.5,43.09,18.79,42.86166666666671
184,19.5,43.145,18.79,43.0
185,19.5,43.2,18.775,43.045
186,19.4266666666667,43.2,18.7,43.09
187,19.39,43.2,18.7,43.2
188,19.39,43.26,18.7,43.26
189,19.39,43.29,18.69090909090909,43.31
190,19.39,43.363333333333294,18.6777777777778,43.3977777777778
191,19.39,43.4,18.6428571428571,43.4285714285714
192,19.32333333333329,43.4666666666667,18.6,43.46
193,19.29,43.5,18.6,43.5
194,19.29,43.56,18.6,43.56
195,19.29,43.59,18.588888888888896,43.59
196,19.29,43.59,18.5,43.59
197,19.29,43.7,18.5,43.635833333333295
198,19.29,43.76,18.5,43.68625
199,19.2,43.7,18.5,43.7
